date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:28	229028/229028	---MCZ	200	added ('OK')	text/html	etag:W/%228e114709d5bb8371c37274f0ccb4c190%22	https://anvogue-html.vercel.app/index.html	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/index.html	(from )
18:39:28	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Mar%202025%2013:09:26%20GMT	https://anvogue-html.vercel.app/robots.txt		(from )
18:39:28	3611/3611	---M--	200	added ('OK')	image/png	etag:%22f8c49806d4f915d905c78f62f96e4a18%22	https://anvogue-html.vercel.app/assets/images/fav.png	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/assets/images/fav.png	(from https://anvogue-html.vercel.app/index.html)
18:39:29	18436/18436	---MCZ	200	added ('OK')	text/css	etag:W/%2254c9fa7d1d3b428ed62e26d09289d15a%22	https://anvogue-html.vercel.app/assets/css/swiper-bundle.min.css	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/assets/css/swiper-bundle.min.css	(from https://anvogue-html.vercel.app/index.html)
18:39:29	88/88	---M--	200	added ('OK')	text/css	etag:%22d6abd12cda944b4fa2dd05580bafffc9%22	https://anvogue-html.vercel.app/assets/css/style.css	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/assets/css/style.css	(from https://anvogue-html.vercel.app/index.html)
18:39:29	136985/136985	---MCZ	200	added ('OK')	text/css	etag:W/%22e4a5edc19d8b1e6e9b9e5bb2498521a1%22	https://anvogue-html.vercel.app/dist/output-scss.css	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/dist/output-scss.css	(from https://anvogue-html.vercel.app/index.html)
18:39:30	62846/62846	---MCZ	200	added ('OK')	text/css	etag:W/%22d6e8c722840e4b2a5305d8b7ac59b22d%22	https://anvogue-html.vercel.app/dist/output-tailwind.css	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/dist/output-tailwind.css	(from https://anvogue-html.vercel.app/index.html)
18:39:30	229028/229028	---MCZ	200	added ('OK')	text/html	etag:W/%228e114709d5bb8371c37274f0ccb4c190%22	https://anvogue-html.vercel.app/	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/index-2.html	(from https://anvogue-html.vercel.app/index.html)
18:39:30	209873/209873	---MCZ	200	added ('OK')	text/html	etag:W/%223727fded38d660f649b25bdc90e18c29%22	https://anvogue-html.vercel.app/fashion2.html	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/fashion2.html	(from https://anvogue-html.vercel.app/index.html)
18:39:31	215851/215851	---MCZ	200	added ('OK')	text/html	etag:W/%22669df385cd9e707a098ff83ed91b261f%22	https://anvogue-html.vercel.app/fashion3.html	C:/Users/monuk/Downloads/Shooping%20Site/anvogue-html.vercel.app/fashion3.html	(from https://anvogue-html.vercel.app/index.html)
